id,name,lastname,password,email,sub,portfolio,payment
41234123.0,Alexis,Wong,alexis1,alexiswong10@gmail.com,0.0,"['empty', '382563-01', 'GZ2751', '553558-500', 'CW2627-400', 'FW6927', '171894C', '408452-400', '770695F', '170840C', 'FW6963', 'CV1750-400', 'CD6867-109', 'FX5570', 'DB3553-100', 'CD6864-109', 'CW7645-403', '171895C', 'FW7239', 'GZ2758', 'GZ2760', 'GZ2745', 'GZ2746', 'GZ2753', 'GZ2742', 'GZ2739', 'CV8121-102', 'FZ4007']",0.0
54325234.0,Daniel,Leo,daniel1,danieleo@gmail.com,0.0,"['empty', '571920C', 'FW7239', '677308-002', '844235-401', '419712-KUS50-8065', 'FW7514', '171870C', '170840C', '171895C', '571891C', 'FW6927', '770688F', 'FW6522', '171894C', 'AR8836-005', '511492-106', '571874C', 'DM3158-100', 'VN0A5KYR431', '171921C', '318020-031']",0.0
83223.0,Gustavo,Flores,gustavo1,pharma_dream@gmail.com,0.0,"['empty', ""Chuck Taylor All Star High TD 'Gingham'"", ""One Star Low 'The Great Outdoors - Midnight Clover'"", '571920C', '309432-151', '857910-400', 'VN0A2XSBOI4', '135346-142', 'CZ4609-800']",0.0
64054.0,Yokohama,Shisuki,yokohama1,yokohama@gmail.com,0.0,['empty'],0.0
14919.0,Koko,Kaka,$,kokokaka@gmail.com,0.0,['empty'],0.0
52289.0,Torta,de Coco,$,tortadecoco1@gmail.com,0.0,['empty'],0.0
60966.0,Culo,de los Anales,culo,culo@gmail.com,0.0,['empty'],0.0
41222.0,Teta,Parada,teta,tetita@gmail.com,0.0,"['empty', '170836C', 'FW6522']",0.0
0.0,,,,,,,
44530.0,Naruto,Uzumaki,naruto1,naruto@gmail.com,0.0,"['empty', '408452-400', 'CT1020-102', '312492-211', '554725-173', '370596-01', '843253-9XX', 'CZ1055-114', 'FW7266']",0.0
50000.0,,,,,0.0,['empty'],0.0
55867.0,,,,,0.0,['empty'],0.0
35435.0,Kakashi,Hatake,kakashi1,kakashi@gmail.com,0.0,['empty'],0.0
